Scheme,Throughput_Mbps
MADRL,244.92
MADRL,165.6
MADRL,224.64
MADRL,225.24
MADRL,242.04
MADRL,244.56
MADRL,234.72
MADRL,190.08
MADRL,235.08
MADRL,271.8
MADRL,234.36
MADRL,183.24
MADRL,198.72
MADRL,199.92
MADRL,249.24
MADRL,197.64
MADRL,206.88
MADRL,235.56
MADRL,214.92
MADRL,224.52
MADRL,240.48
MADRL,231.24
MADRL,283.08
MADRL,235.2
MADRL,246.72
MADRL,229.44
MADRL,269.16
MADRL,252.12
MADRL,245.88
MADRL,237.0
MADRL,251.76
MADRL,211.92
MADRL,223.08
MADRL,251.28
MADRL,231.96
MADRL,248.16
MADRL,210.84
MADRL,231.6
MADRL,238.32
MADRL,222.96
MADRL,251.16
MADRL,220.44
MADRL,220.2
MADRL,231.36
MADRL,227.64
MADRL,218.4
MADRL,250.32
MADRL,243.84
